"Player","Pos","Year","Week","Team","Opponent Abbrev","Date","Game ID","H/A","OT","Team Score","Opponent Score","Spread","Over/Under","Implied Points","Actual Margin","Indoor/Outdoor","Surface","Weather","Temperature","Wind","Pass Att","Pass Cmp","Pass Yds","Pass TD","Pass Int","Pass Lng","Pass Rate","Pass Sk","Pass Sk Yds","Rush Att","Rush Yds","Rush TD","Rush Lng","Rec Tgt","Rec Rec","Rec Yds","Rec TD","Rec Lng","Fmb","FL","2PT","Kick Ret","Kick Yds","Kick TD","Kick Lng","Kick YPR","Punt Ret","Punt Yds","Punt TD","Punt Lng","Punt YPR","Short L Tgt","Short L Ctch","Short L Yds","Short L TD","Short M Tgt","Short M Ctch","Short M Yds","Short M TD","Short R Tgt","Short R Ctch","Short R Yds","Short R TD","Deep L Tgt","Deep L Ctch","Deep L Yds","Deep L TD","Deep M Tgt","Deep M Ctch","Deep M Yds","Deep M TD","Deep R Tgt","Deep R Ctch","Deep R Yds","Deep R TD","No Dir Tgt","No Dir Ctch","No Dir Yds","No Dir TD","Off Num","Off Pct","Def Num","Def Pct","ST Num","ST Pct","DKP","DKSalary","FDP","FDSalary","DK_Total_FP","FD_Total_FP","YH_Total_FP","Sk","Int","Int TD","FF","FR","Fum TD","QBHits","TFL","Oppt Int TD","Oppt Fum TD","Oppt Punt TD","Oppt Kick TD","FGM","FGA","FG 0-19","FG 20-29","FG 30-39","FG 40-49","FG 50+","XPM","XPA","Pnt","Yds","Y/P"
"Matt Ryan","QB",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,43,21,251,0,1,36,57.4,4,26,2,8,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,"100%",0,"0%",0,"0%",9.84,6300,9.84,7000,8.84,8.84,9.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devonta Freeman","RB",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,6,36,0,20,5,3,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"56%",0,"0%",0,"0%",8,6600,6.5,7100,8,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tevin Coleman","RB",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,9,19,1,9,2,1,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"51%",0,"0%",0,"0%",11.5,4400,11,5900,11.5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Julio Jones","WR",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,1,11,0,11,19,10,169,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,3,1,6,0,4,3,32,0,3,3,73,0,2,1,36,0,2,1,18,0,0,0,0,0,57,"81%",1,"1%",0,"0%",31,7600,23,8300,31,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Hooper","TE",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,24,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,"84%",0,"0%",3,"11%",5.4,2900,3.9,4800,5.4,3.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mohamed Sanu","WR",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,"80%",0,"0%",0,"0%",5.8,3800,3.8,5900,5.8,3.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calvin Ridley","WR",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"64%",0,"0%",4,"15%",0,4000,0,5600,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Saubert","TE",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"19%",0,"0%",22,"81%",0,2500,0,4000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Hardy","WR",2018,1,"ATL","PHI",2018-09-06,"201809060phi","A","",12,18,1,44.5,21.75,6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,6,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"9%",0,"0%",16,"59%",0,3000,0,4600,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Foles","QB",2018,1,"PHI","ATL",2018-09-06,"201809060phi","H","",18,12,-1,44.5,22.75,-6,"outdoors","grass ","81 degrees, wind 8 mph",81,8,34,19,117,0,1,18,50.7,2,13,1,-1,0,-1,1,1,15,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,"100%",0,"0%",0,"0%",6.08,5900,5.58,7400,5.08,4.58,5.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
