Kareem Hunt,5600,CLE,RB,MIA,24.62768,0.97328,12.32
Wayne Gallman,4200,NYG,RB,CHI,4.89755,0.1078,2.45
Elijhaa Penny,3000,NYG,RB,CHI,0.43978,0.00022,0.22
Dontrell Hilliard,3300,CLE,RB,MIA,1.49925,0.00075,0.75
Kenjon Barner,3500,ATL,RB,TBB,5.65717,0.00283,2.83
Qadree Ollison,3300,ATL,RB,TBB,10.81459,0.21099,5.41
Gregory Howell,3000,HOU,RB,IND,2.71864,0.00136,1.36
Jordan Wilkins,4000,IND,RB,HOU,8.69565,0.00435,4.35
Jonathan Williams,4200,IND,RB,HOU,15.05247,2.19876,7.53
Duke Johnson,3900,HOU,RB,IND,17.25137,1.24272,8.63
Carlos Hyde,4800,HOU,RB,IND,21.66004,3.83438,12.02
Dare Ogunbowale,3200,TBB,RB,ATL,11.25437,0.00563,5.63
Peyton Barber,3800,TBB,RB,ATL,8.91554,0.2007,4.46
Ronald Jones,4800,TBB,RB,ATL,24.24787,3.77243,12.13
Saquon Barkley,7900,NYG,RB,CHI,28.47584,6.1904,16.96
David Montgomery,5500,CHI,RB,NYG,24.79719,5.36604,13.83
Patrick DiMarco,3000,BUF,RB,DEN,1.1994,0.0006,0.6
Frank Gore,4100,BUF,RB,DEN,12.75362,0.71456,6.38
Devin Singletary,5400,BUF,RB,DEN,25.364,4.2976,13.6
Devontae Booker,3000,DEN,RB,BUF,2.31884,0.00116,1.16
Bo Scarbrough,4200,DET,RB,WAS,16.98246,3.27888,8.91
Ty Johnson,3700,DET,RB,WAS,10.61469,0.2124,5.31
Adrian Peterson,4300,WAS,RB,DET,15.61219,0.6248,7.81
Derrius Guice,4700,WAS,RB,DET,19.734,3.04612,10.12
J.D. McKissic,4400,DET,RB,WAS,15.7921,0.0079,7.9
Royce Freeman,4500,DEN,RB,BUF,17.85107,0.45543,8.93
Phillip Lindsay,5200,DEN,RB,BUF,26.02185,4.9525,14.15
Christian McCaffrey,10500,CAR,RB,NOS,40.4448,8.20386,22.98
Ryan Nall,3000,CHI,RB,NYG,1.83908,0.00092,0.92
Tarik Cohen,4800,CHI,RB,NYG,20.34982,2.89112,10.18
Reggie Bonnafon,3900,CAR,RB,NOS,1.53923,0.00077,0.77
