"Player","Pos","Year","Week","Team","Opponent Abbrev","Date","Game ID","H/A","OT","Team Score","Opponent Score","Spread","Over/Under","Implied Points","Actual Margin","Indoor/Outdoor","Surface","Weather","Temperature","Wind","Pass Att","Pass Cmp","Pass Yds","Pass TD","Pass Int","Pass Lng","Pass Rate","Pass Sk","Pass Sk Yds","Rush Att","Rush Yds","Rush TD","Rush Lng","Rec Tgt","Rec Rec","Rec Yds","Rec TD","Rec Lng","Fmb","FL","2PT","Kick Ret","Kick Yds","Kick TD","Kick Lng","Kick YPR","Punt Ret","Punt Yds","Punt TD","Punt Lng","Punt YPR","Short L Tgt","Short L Ctch","Short L Yds","Short L TD","Short M Tgt","Short M Ctch","Short M Yds","Short M TD","Short R Tgt","Short R Ctch","Short R Yds","Short R TD","Deep L Tgt","Deep L Ctch","Deep L Yds","Deep L TD","Deep M Tgt","Deep M Ctch","Deep M Yds","Deep M TD","Deep R Tgt","Deep R Ctch","Deep R Yds","Deep R TD","No Dir Tgt","No Dir Ctch","No Dir Yds","No Dir TD","Off Num","Off Pct","Def Num","Def Pct","ST Num","ST Pct","DKP","DKSalary","FDP","FDSalary","DK_Total_FP","FD_Total_FP","YH_Total_FP","Sk","Int","Int TD","FF","FR","Fum TD","QBHits","TFL","Oppt Int TD","Oppt Fum TD","Oppt Punt TD","Oppt Kick TD","FGM","FGA","FG 0-19","FG 20-29","FG 30-39","FG 40-49","FG 50+","XPM","XPA","Pnt","Yds","Y/P"
"Marvin Jones","WR",2017,10,"DET","CLE",2017-11-12,"201711120det","H","",38,24,-10.5,42.5,26.5,-14,"dome","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"96%",0,"0%",0,"0%",3.2,6200,2.7,6400,3.2,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dwayne Washington","RB",2017,10,"DET","CLE",2017-11-12,"201711120det","H","",38,24,-10.5,42.5,26.5,-14,"dome","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"8%",0,"0%",16,"52%",2,3600,1.5,4500,2,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJ Jones","WR",2017,10,"DET","CLE",2017-11-12,"201711120det","H","",38,24,-10.5,42.5,26.5,-14,"dome","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"56%",0,"0%",2,"6%",1.2,NA,0.7,5400,1.2,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren Fells","TE",2017,10,"DET","CLE",2017-11-12,"201711120det","H","",38,24,-10.5,42.5,26.5,-14,"dome","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"52%",0,"0%",12,"39%",0,2500,0,4900,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Roethlisberger","QB",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,31,19,236,2,1,44,92.9,1,8,2,5,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,"100%",0,"0%",0,"0%",18.94,6600,18.94,7600,17.94,17.94,18.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Le'Veon Bell","RB",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,26,80,0,15,6,5,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,13,0,3,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,"98%",0,"0%",0,"0%",16.2,9800,13.7,9400,16.2,13.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Conner","RB",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,1,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2%",0,"0%",4,"13%",1.2,4500,1.2,4800,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JuJu Smith-Schuster","WR",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,97,1,44,0,0,0,1,25,0,25,25,0,0,0,0,0,2,2,26,0,2,1,7,1,2,1,20,0,0,0,0,0,0,0,0,0,1,1,44,0,0,0,0,0,53,"80%",0,"0%",4,"13%",20.7,5600,18.2,6500,20.7,18.2,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antonio Brown","WR",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,47,0,32,0,0,0,0,0,0,0,0,1,7,0,7,7,2,2,15,0,2,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,63,"95%",0,"0%",7,"23%",7.7,9500,6.2,9300,7.7,6.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vance McDonald","TE",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"45%",0,"0%",4,"13%",9.6,2500,8.6,4600,9.6,8.6,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Rogers","WR",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"27%",0,"0%",0,"0%",1.2,3000,0.7,4500,1.2,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jesse James","TE",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"68%",0,"0%",4,"13%",0,2800,0,4700,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martavis Bryant","WR",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,1,-9,0,-9,5,3,42,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10,0,2,1,19,0,1,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,"56%",0,"0%",0,"0%",8.3,3900,6.8,5100,8.3,6.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrell Watson","RB",2017,10,"PIT","IND",2017-11-12,"201711120clt","A","",20,17,-10.5,47,28.75,-3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,"0%",15,"50%",0,3000,0,4500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacoby Brissett","QB",2017,10,"IND","PIT",2017-11-12,"201711120clt","H","",17,20,10.5,47,18.25,3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,24,14,222,2,1,61,99.7,3,26,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,"100%",0,"0%",0,"0%",16.58,5200,16.58,6600,15.58,15.58,16.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frank Gore","RB",2017,10,"IND","PIT",2017-11-12,"201711120clt","H","",17,20,10.5,47,18.25,3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,17,54,0,9,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"58%",0,"0%",0,"0%",7.1,3700,6.6,5200,7.1,6.6,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marlon Mack","RB",2017,10,"IND","PIT",2017-11-12,"201711120clt","H","",17,20,10.5,47,18.25,3,"retractable roof (closed)","fieldturf ","indoors",NA,NA,0,0,0,0,0,0,0,0,0,7,7,0,8,4,2,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,2,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"42%",0,"0%",0,"0%",4.6,3800,3.6,5500,4.6,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
